name,york_id,n_entries_iris,n_instruments_iris,value,has_materials
339,york:832568,2,1,An analysis of story comprehension in elementary school children,Records with materials
340,york:832717,3,1,"Motivation, language attitudes and globalisation: A Hungarian Perspective",Records with materials
340,york:832717,3,1,Language learner motivational types: A cluster analysis study,Records with materials
340,york:832717,3,1,"The L2 motivational self system amongst Chinese, Japanese, and Iranian learners of English: A comparative study",Records with materials
341,york:832718,1,0,Opening the window on comprehensible pronunciation after 19 years: A workplace training study,Records with information only (materials not yet held)
342,york:832810,5,2,Working memory as a predictor of verbal fluency,Records with materials
342,york:832810,5,2,Individual differences in comprehending and producing words in context,Records with materials
342,york:832810,5,2,"Oral corrective feedback, individual differences, and L2 acquisition of French past tenses",Records with materials
342,york:832810,5,2,Working memory and L2 oral fluency,Records with materials
342,york:832810,5,2,"Talking, tuning in, and noticing: Exploring the benefits of output in task based peer interaction",Records with materials
343,york:832829,1,4,Embodied experiences in second language learning of English modal verbs,Records with materials
344,york:833245,1,0,Opening the window on comprehensible pronunciation after 19 years: A workplace training study,Records with information only (materials not yet held)
345,york:833247,1,13,The Effects of Task Complexity and Input Frequency on the Acquisition of the Past Counterfactual Construction Through Recasts,Records with materials
346,york:833248,1,5,The Effects of Task Complexity and Input Frequency on the Acquisition of the Past Counterfactual Construction Through Recasts,Records with materials
347,york:833249,1,4,The Effects of Task Complexity and Input Frequency on the Acquisition of the Past Counterfactual Construction Through Recasts,Records with materials
348,york:833351,2,1,Teaching L2 Spanish Sociopragmatics Through Concepts: A Classroom-Based Study,Records with materials
348,york:833351,2,1,Instructed Concept Appropriation and L2 Pragmatic Development in the Classroom,Records with materials
349,york:833352,2,1,Teaching L2 Spanish Sociopragmatics Through Concepts: A Classroom-Based Study,Records with materials
349,york:833352,2,1,Instructed Concept Appropriation and L2 Pragmatic Development in the Classroom,Records with materials
350,york:833353,3,2,Strategic interaction: Learning languages through scenarios,Records with materials
350,york:833353,3,2,Teaching L2 Spanish Sociopragmatics Through Concepts: A Classroom-Based Study,Records with materials
350,york:833353,3,2,Instructed Concept Appropriation and L2 Pragmatic Development in the Classroom,Records with materials
351,york:833400,1,0,The perception of fluency in native and nonnative speech,Records with information only (materials not yet held)
352,york:833496,2,2,How similar are adult second language learners and Spanish heritage speakers? Spanish clitics and word order,Records with materials
352,york:833496,2,2,Morphosyntactic knowledge of clitics by Portuguese heritage bilinguals,Records with materials
353,york:833501,3,0,"Le ﬁgure PD/DPSS. Misure di accordosulnome, tipicità, familiarità, età di acquisizione e tempi di denominazione per 266 ﬁgure",Records with information only (materials not yet held)
353,york:833501,3,0,Transfer of Spanish grammatical gender to English: Evidence from immersed and non-immersed bilinguals,Records with information only (materials not yet held)
353,york:833501,3,0,"A standardized set of 260 pictures: Norms for name agreement, image agreement, familiarity, and visual complexity.",Records with information only (materials not yet held)
354,york:833727,1,1,Getting your wires crossed: Evidence for fast processing of L1 idioms in an L2,Records with materials
355,york:833986,1,0,The noticeability and effectiveness of corrective feedback in relation to target type,Records with information only (materials not yet held)
356,york:833995,1,0,The noticeability and effectiveness of corrective feedback in relation to target type,Records with information only (materials not yet held)
357,york:833999,2,0,The noticeability and effectiveness of corrective feedback in relation to target type,Records with information only (materials not yet held)
357,york:833999,2,0,"Feedback, noticing and instructed second language learning",Records with information only (materials not yet held)
358,york:834447,1,5,Processing relative clauses in Chinese as a second language,Records with materials
359,york:838936,1,1,Crosslinguistic differences in implicit language learning,Records with materials
360,york:838953,1,1,Vocabulary learning in collaborative tasks: A comparison of pair and small group work,Records with materials
361,york:838956,2,1,Vocabulary learning in collaborative tasks: A comparison of pair and small group work,Records with materials
361,york:838956,2,1,Juegos comunicativos: Español lengua extranjera [Communicative games: Spanish as a foreign language],Records with materials
362,york:838957,2,1,The Incidental Grammar Acquisition in Focus on Form and Focus on Forms Instruction for Young Beginner Learners,Records with materials
362,york:838957,2,1,Tracking 'learning behaviours' in the incidental acquisition of two dimensional adjectives by Japanese beginner learners of L2 English,Records with materials
363,york:838958,1,1,Tracking 'learning behaviours' in the incidental acquisition of two dimensional adjectives by Japanese beginner learners of L2 English,Records with materials
364,york:838959,1,1,Tracking 'learning behaviours' in the incidental acquisition of two dimensional adjectives by Japanese beginner learners of L2 English,Records with materials
365,york:838960,1,1,Tracking 'learning behaviours' in the incidental acquisition of two dimensional adjectives by Japanese beginner learners of L2 English,Records with materials
366,york:838961,1,2,Tracking 'learning behaviours' in the incidental acquisition of two dimensional adjectives by Japanese beginner learners of L2 English,Records with materials
367,york:838968,2,1,Incidental exposure and L3 learning of morphosyntax,Records with materials
367,york:838968,2,1,Comparing a nativist and emergentist approach to the initial stage of SLA: An investigation of Japanese scrambling,Records with materials
368,york:838970,2,2,Incidental exposure and L3 learning of morphosyntax,Records with materials
368,york:838970,2,2,Comparing a nativist and emergentist approach to the initial stage of SLA: An investigation of Japanese scrambling,Records with materials
369,york:838972,2,4,Incidental exposure and L3 learning of morphosyntax,Records with materials
369,york:838972,2,4,Comparing a nativist and emergentist approach to the initial stage of SLA: An investigation of Japanese scrambling,Records with materials
370,york:838988,1,4,Il fenomeno dell'attrito linguistico negli insegnanti di Italiano L2;,Records with materials
371,york:841157,1,1,Dual activation of word stress from orthography,Records with materials
372,york:841158,1,4,Communicative focus on form and second language suprasegmental learning: Teaching Cantonese learners to perceive Mandarin tones,Records with materials
373,york:841159,1,2,Communicative focus on form and second language suprasegmental learning: Teaching Cantonese learners to perceive Mandarin tones,Records with materials
374,york:841164,1,0,Let the music play! A short-term but no long-term detrimental effect of vocal background music with familiar language lyrics on foreign language vocabulary learning,Records with information only (materials not yet held)
375,york:841165,3,0,PsyScope: A new graphic interactive environment for designing psychology experiments,Records with information only (materials not yet held)
375,york:841165,3,0,Native speakers' versus L2 learners' sensitivity to parallelism in vp-ellipsis,Records with information only (materials not yet held)
375,york:841165,3,0,Comprehension of deep and surface verb phrase anaphors,Records with information only (materials not yet held)
376,york:841166,1,1,Let the music play! A short-term but no long-term detrimental effect of vocal background music with familiar language lyrics on foreign language vocabulary learning,Records with materials
377,york:841167,1,0,Let the music play! A short-term but no long-term detrimental effect of vocal background music with familiar language lyrics on foreign language vocabulary learning,Records with information only (materials not yet held)
378,york:841173,1,1,Cognitive shift in the bilingual mind: Spatial concepts in Korean-English bilinguals,Records with materials
379,york:841174,6,3,The role of polysemy in masked semantic and translation priming,Records with materials
379,york:841174,6,3,DMDX: A windows display program with millisecond accuracy,Records with materials
379,york:841174,6,3,Language dominance in translation priming: Evidence from balanced and unbalanced Chinese-English bilinguals,Records with materials
379,york:841174,6,3,Masked translation priming in semantic categorization: Testing the sense model,Records with materials
379,york:841174,6,3,Is translation priming asymmetry due to partial awareness?,Records with materials
379,york:841174,6,3,Category norms as a function of age: Comparisons of items responses to 105 categories by American and Chinese adults,Records with materials
380,york:841175,2,4,Wordbird's word book: Vocabulary building for young learners,Records with materials
380,york:841175,2,4,"An exploratory study into the effects of task repetition on young learners' complexity, accuracy and fluency",Records with materials
381,york:841176,2,1,Kielten järjestelmien vertailusta kieltenvälisen vaikutuksen tutkimukseen [From comparision of language systems to the research of cross-linguistic influence],Records with materials
381,york:841176,2,1,Measuring perceptions of cross-linguistic similarity between closely related languages Finnish and Estonian noun morphology as a testing ground,Records with materials
382,york:841177,1,2,Memory-based aptitude for nativelike selection: The role of phonological short-term memory,Records with materials
383,york:841178,1,33,Memory-based aptitude for nativelike selection: The role of phonological short-term memory,Records with materials
384,york:841240,1,4,A study on Hungarian 6th and 8th graders' proficiency in English and German at dual-language schools,Records with materials
385,york:841241,1,4,A study on Hungarian 6th and 8th graders' proficiency in English and German at dual-language schools,Records with materials
386,york:841242,1,4,A study on Hungarian 6th and 8th graders' proficiency in English and German at dual-language schools,Records with materials
387,york:841243,1,4,A study on Hungarian 6th and 8th graders' proficiency in English and German at dual-language schools,Records with materials
388,york:843243,1,14,Processing of word order variations in two Germanic L2s,Records with materials
389,york:847233,2,0,Perception of allophonic cues to English word boundaries by Japanese second language learners of English.,Records with information only (materials not yet held)
389,york:847233,2,0,The exploitation of subphonemic acoustic detail in L2 speech segementation,Records with information only (materials not yet held)
390,york:847234,1,0,"L2 learners' assessments of accentedness, fluency and comprehensibility of native and nonnative German speech",Records with information only (materials not yet held)
391,york:847400,3,0,Ncidental acquisition of foreign language vocabulary through brief multi-modal exposure,Records with information only (materials not yet held)
391,york:847400,3,0,The role of repeated exposure to multimodal input in incidental acquisition of foreign language vocabulary,Records with information only (materials not yet held)
391,york:847400,3,0,"A standardized set of 260 pictures: Norms for name agreement, image agreement, familiarity, and visual complexity",Records with information only (materials not yet held)
392,york:847401,3,3,Ncidental acquisition of foreign language vocabulary through brief multi-modal exposure,Records with materials
392,york:847401,3,3,The role of repeated exposure to multimodal input in incidental acquisition of foreign language vocabulary,Records with materials
392,york:847401,3,3,"A standardized set of 260 pictures: Norms for name agreement, image agreement, familiarity, and visual complexity",Records with materials
393,york:847402,1,0,Exploring utterance and cognitive fluency of L1 and L2 English speakers: Temporal measures and stimulated recall,Records with information only (materials not yet held)
394,york:847403,1,0,Exploring utterance and cognitive fluency of L1 and L2 English speakers: Temporal measures and stimulated recall,Records with information only (materials not yet held)
395,york:847407,1,1,The impact of instruction on second-language implicit knowledge: Evidence against encapsulation,Records with materials
396,york:847408,2,1,Processing Instruction and a role for output in second language acquisition,Records with materials
396,york:847408,2,1,Teacher- and learner-led discourse in task-based grammar instruction: Providing procedural assistance for L2 morphosyntactic development,Records with materials
397,york:847425,3,0,The beliefs about language learning of beginning university foreign language students,Records with information only (materials not yet held)
397,york:847425,3,0,Cultural and situational influences on foreign language learners' beliefs about language learning: A review of BALLI studies,Records with information only (materials not yet held)
397,york:847425,3,0,The beliefs of Iranian ESP students about language learning,Records with information only (materials not yet held)
398,york:847431,1,0,On the role of experience and age-related effects: Evidence from the Spanish CP,Records with information only (materials not yet held)
399,york:847433,1,0,On the role of experience and age-related effects: Evidence from the Spanish CP,Records with information only (materials not yet held)
400,york:847434,2,0,Investigationa in Universal Grammar: A guide to experiments on the acquisition of syntax and semantics,Records with information only (materials not yet held)
400,york:847434,2,0,On the role of experience and age-related effects: Evidence from the Spanish CP,Records with information only (materials not yet held)
401,york:847436,3,0,On the role of experience and age-related effects: Evidence from the Spanish CP,Records with information only (materials not yet held)
401,york:847436,3,0,Second language acquisition of variable structures in Spanish by Portuguese speakers,Records with information only (materials not yet held)
401,york:847436,3,0,Incomplete acquisition in bilingualism: Re-examining the age factor,Records with information only (materials not yet held)
402,york:847444,1,3,Comparing elicited imitation and word monitoring as measures of implicit knowledge,Records with materials
403,york:847445,2,1,Motivating language learners: A classroom-oriented investigation of the effects of motivational strategies on student motivation,Records with materials
403,york:847445,2,1,COLT Communicative Orientation of Language Teaching observation scheme: Coding conventions and applications,Records with materials
404,york:847446,2,1,Motivating language learners: A classroom-oriented investigation of the effects of motivational strategies on student motivation,Records with materials
404,york:847446,2,1,COLT Communicative Orientation of Language Teaching observation scheme: Coding conventions and applications,Records with materials
405,york:847517,1,2,The ise of motivational strategies in language instruction: The case of EFL teaching in Taiwan,Records with materials
406,york:847518,1,1,A new approach to assessing strategic learning: The case of self-regulation in vocabulary acquisition,Records with materials
407,york:847519,3,3,Second language proficiency and accultration: An investigation of the efffects of language status and individual characteristics,Records with materials
407,york:847519,3,3,"Motivation, self-confidence, and group cohesion in the foreign language classroom",Records with materials
407,york:847519,3,3,Conceptualizing motivation in foreign language learning,Records with materials
408,york:847523,4,2,"Motivation and vision: An analysis of future L2 self images, sensory styles, and imagery capacity across two target languages",Records with materials
408,york:847523,4,2,Learning styles in the ESL/EFL classroom,Records with materials
408,york:847523,4,2,"Individual differences in imaging: Their measurement, origins, and consequences",Records with materials
408,york:847523,4,2,The L2 motivational self system amongst Chinese and Japanese learners of English: A comparative study,Records with materials
409,york:847528,4,2,"Questionnaires in Second Language Research: Construction, Administration, and Processing 2nd ed",Records with materials
409,york:847528,4,2,"The L2 motivational self system among Japanese, Chinese and Iranian learners of English: A comparative study",Records with materials
409,york:847528,4,2,"Motivation, vision, and gender: A survey of Chinese learners of English",Records with materials
409,york:847528,4,2,Language learning motivation in China: Results of a large-scale stratified survey,Records with materials
410,york:847576,1,0,A prerequisite to L1 homophone effects in L2 spoken-word recognition,Records with information only (materials not yet held)
411,york:847577,1,0,A prerequiite to L1 homophone effects in L2 spoken-word recognition,Records with information only (materials not yet held)
412,york:847578,1,0,A prerequisite to L1 homophone effects in L2 spoken-word recognition,Records with information only (materials not yet held)
413,york:847579,1,0,A prerequisite to L1 homophone effects in L2 spoken-word recognition,Records with information only (materials not yet held)
414,york:847580,1,0,A prerequisite to L1 homophone effects in L2 spoken-word recognition,Records with information only (materials not yet held)
415,york:847583,1,1,Processing tense/aspect-agreement violations on-line in the second language: A self-paced reading study with French and German L2 learners of English,Records with materials
416,york:847584,1,1,Processing tense/aspect-agreement violations on-line in the second language: A self-paced reading study with French and German L2 learners of English,Records with materials
417,york:847588,1,180,Visual Attention and Quantifier-Spreading in Heritage Russian Bilinguals,Records with materials
418,york:847589,1,1,L2 processing of plural inflection in English,Records with materials
419,york:847871,1,2,Implicit learning of L2 word stress regularities,Records with materials
420,york:847872,1,1,Implicit learning of L2 word stress regularities,Records with materials
421,york:847873,3,1,Implicit learning of L2 word stress regularities,Records with materials
421,york:847873,3,1,Can sequence learning be implicit? New evidence with the process dissociation procedure,Records with materials
421,york:847873,3,1,A process dissociation framework: Separating automatic from intentional uses of memory,Records with materials
422,york:847874,1,0,Implicit learning of L2 word stress regularities,Records with information only (materials not yet held)
423,york:847879,1,1,La volonté de communiquer: l'influence de l'appréhension et des perceptions,Records with materials
424,york:847880,1,0,Russian speakers' L2 Chinese acquisition of wh-topicalization at the syntax-discourse interface,Records with information only (materials not yet held)
425,york:847881,1,5,"Locatives and existentials in L2 Spanish: The acquisition of the semantic contrasts among ser, estar and haber",Records with materials
426,york:847894,2,1,Lexical specificity training effects in second language learners,Records with materials
426,york:847894,2,1,Learning Phonologically Specific New Words Fosters Rhyme Awareness in Dutch Preliterate Children,Records with materials
427,york:847909,1,0,"Locatives and existentials in L2 Spanish: The acquisition of the semantic contrasts among ser, estar and haber",Records with information only (materials not yet held)
428,york:847955,1,1,Processing of contrastiveness by heritage Russian bilinguals,Records with materials
429,york:848137,1,0,'Wh-on-earth' in Chinese speakers' L2 English: Evidence of dormant features,Records with information only (materials not yet held)
430,york:848138,1,0,'Wh-on-earth' in Chinese speakers' L2 English: Evidence of dormant features,Records with information only (materials not yet held)
431,york:848139,1,0,'Wh-on-earth' in Chinese speakers' L2 English: Evidence of dormant features,Records with information only (materials not yet held)
432,york:848148,1,1,The attitudes of university students towards non-native speakers English teachers in Hong Kong,Records with materials
433,york:848297,2,1,Functions and effects of international teaching assistants at a major research institution,Records with materials
433,york:848297,2,1,Undergraduates' experiences with and attitudes toward international teaching assistants,Records with materials
434,york:848340,1,3,ESL students' attitudes toward native- and nonnative-speaking instructors' accents,Records with materials
435,york:849991,1,2,Do the cognacy characteristics of loanwords make them more easily learned than noncognates?,Records with materials
436,york:850567,1,2,Do the cognacy characteristics of loanwords make them more easily learned than noncognates?,Records with materials
437,york:851521,1,1,The impact of CLIL on affective factors and vocabulary learning,Records with materials
438,york:851527,4,1,Gender differences in compulsory school pupils' L2 self-concepts: A longitudinal study,Records with materials
438,york:851527,4,1,The impact of CLIL on affective factors and vocabulary learning,Records with materials
438,york:851527,4,1,English achievement and student motivation in CLIL and EFL settings,Records with materials
438,york:851527,4,1,"The L2 motivational self system among Japanese, Chinese and Iranian learners of English: A comparative study.",Records with materials
439,york:851534,1,3,The impact of CLIL on affective factors and vocabulary learning,Records with materials
440,york:851535,2,1,Automatization in second language acquisition: What does the coefficient of variation tell us,Records with materials
440,york:851535,2,1,"Automatization in second language sentence processing: A partial, conceptual replication of Hulstijn, Van Gelderen, and Schoonen's 2009 study",Records with materials
441,york:851536,2,1,Automatization in second language acquisition: What does the coefficient of variation tell us,Records with materials
441,york:851536,2,1,"Automatization in second language sentence processing: A partial, conceptual replication of Hulstijn, Van Gelderen, and Schoonen's 2009 study",Records with materials
442,york:851537,2,1,Automatization in second language acquisition: What does the coefficient of variation tell us,Records with materials
442,york:851537,2,1,"Automatization in second language sentence processing: A partial, conceptual replication of Hulstijn, Van Gelderen, and Schoonen's 2009 study",Records with materials
443,york:851538,1,1,"Automatization in second language sentence processing: A partial, conceptual replication of Hulstijn, Van Gelderen, and Schoonen's 2009 study",Records with materials
444,york:851572,1,2,The effect of a discrimination task on L2 learners' recall of collocations and compounds,Records with materials
445,york:851574,1,1,Language Learning Motivation and CLIL: Is there a connection?,Records with materials
446,york:851663,1,1,A longitudinal study on the roles of lexical stress and motivation in the perception and production of L2 Spanish stop consonants,Records with materials
447,york:851691,1,1,Spacing techniques in second language vocabulary acquisition: Short-term gains vs. long-term memory,Records with materials
448,york:851692,1,1,Spacing techniques in second language vocabulary acquisition: Short-term gains vs. long-term memory,Records with materials
449,york:851693,1,1,Spacing techniques in second language vocabulary acquisition: Short-term gains vs. long-term memory,Records with materials
450,york:851698,2,0,At what rate do learners learn and retain new vocabulary from reading a graded reader,Records with information only (materials not yet held)
450,york:851698,2,0,Does teaching mnemonics for vocabulary learning make a difference? Putting the keyword method and the word part technique to the test,Records with information only (materials not yet held)
451,york:851710,2,1,Lexical specificity training effects in second language learners,Records with materials
451,york:851710,2,1,Learning Phonologically Specific New Words Fosters Rhyme Awareness in Dutch Preliterate Children,Records with materials
452,york:851711,2,1,Lexical specificity training effects in second language learners,Records with materials
452,york:851711,2,1,Learning Phonologically Specific New Words Fosters Rhyme Awareness in Dutch Preliterate Children,Records with materials
453,york:851712,2,1,Lexical specificity training effects in second language learners,Records with materials
453,york:851712,2,1,Learning Phonologically Specific New Words Fosters Rhyme Awareness in Dutch Preliterate Children,Records with materials
454,york:851728,2,1,Lexical specificity training effects in second language learners,Records with materials
454,york:851728,2,1,Learning Phonologically Specific New Words Fosters Rhyme Awareness in Dutch Preliterate Children,Records with materials
455,york:851730,2,1,Lexical specificity training effects in second language learners,Records with materials
455,york:851730,2,1,Learning Phonologically Specific New Words Fosters Rhyme Awareness in Dutch Preliterate Children,Records with materials
456,york:851760,1,1,"The activation of semantic memory: Effects of prime exposure, prime target-relationship, and task demands",Records with materials
457,york:851761,2,1,L'art de conjuguer,Records with materials
457,york:851761,2,1,Syntactic ambiguity resolution while reading in second and native languages,Records with materials
458,york:851814,1,2,"Perceptions, Attitudes, and Choosing to Study Foreign Languages in England: An Experimental Intervention",Records with materials
459,york:851823,1,1,The effects of different lengths of pretask planning time on L2 learners' oral test performance,Records with materials
460,york:851824,1,1,The effects of different lengths of pretask planning time on L2 learners' oral test performance,Records with materials
461,york:851825,1,3,A longitudinal investigation into L2 learners' cognitive processes during study abroad,Records with materials
462,york:851826,1,0,A longitudinal investigation into L2 learners' cognitive processes during study aborad,Records with information only (materials not yet held)
463,york:851827,2,1,Connected Words: Word Associations and Second Language Vocabulary Acquisition,Records with materials
463,york:851827,2,1,A further note on simulating word association behaviour in an L2,Records with materials
464,york:852223,1,1,"Online debates, examining social construction of knowledge in computer conferencing",Records with materials
465,york:852224,1,1,Translation as a pedagogical tool in the foreign language classroom: A qualitative study of attitudes and behaviours,Records with materials
466,york:852225,1,1,Translation as a pedagogical tool in the foreign language classroom: A qualitative study of attitudes and behaviours,Records with materials
467,york:852226,1,2,Task-based language learning and teaching: An action-research study,Records with materials
468,york:852227,1,1,Task-based language learning and teaching: An action-research study,Records with materials
469,york:852246,1,1,Cultural contrasts and commonalities in inspiring language teaching,Records with materials
470,york:852247,1,0,Teaching in the foreign language classroom: How being a native or non-native speaker of German influences culture teaching,Records with information only (materials not yet held)
471,york:852248,1,0,Teaching in the foreign language classroom: How being a native or non-native speaker of German influences culture teaching,Records with information only (materials not yet held)
472,york:852250,1,1,Reexamining the role of explicit information in processing instruction,Records with materials
473,york:852253,1,1,'Discovering Language' in primary school: an evaluation of a language awareness programme,Records with materials
474,york:852308,1,0,Processing instruction and Spanish ser and estar: Forms with semantic-aspectual values,Records with information only (materials not yet held)
475,york:852309,2,40,The relative effects of processing instruction and meaning-based output instruction on L2 acquisition of the Spanish subjunctive,Records with materials
475,york:852309,2,40,The relative effects of processing instruction and meaning-based output instruction.,Records with materials
476,york:852320,2,3,The development of a new measure of L2 vocabulary knowledge,Records with materials
476,york:852320,2,3,Validating a test to measure depth of vocabulary knowledge,Records with materials
477,york:852333,2,1,Pushed output and noticing in a dictogloss: Task implementation in the CLIL classroom,Records with materials
477,york:852333,2,1,Social Sciences. Compulsory Secondary Education. Second cycle. Vol 3: The story goes on,Records with materials
478,york:852335,3,1,Males and females in EFL task-based interaction: Does gender have an impact on LREs?,Records with materials
478,york:852335,3,1,Task-modality and L1 use in EFL oral interaction,Records with materials
478,york:852335,3,1,EFL task-based interaction: Does task modality impact on language-related episodes?,Records with materials
479,york:852432,2,9,Child-Adult Differences in Implicit and Explicit Second Language Learning,Records with materials
479,york:852432,2,9,Developmental Comparisons of Implicit and Explicit Language Learning,Records with materials
480,york:852549,1,2,Language Learner Motivational Types: A Cluster Analysis Study,Records with materials
481,york:852568,1,1,Mood selection in relative clauses: Inferences and variability,Records with materials
482,york:852569,1,1,Mood selection in relative clauses: Inferences and variability,Records with materials
483,york:852570,1,1,Mood selection in relative clauses: Inferences and variability,Records with materials
484,york:852572,3,22,Qualitative analysis of second language acquisition in study abroad: The ACTR/NFLC Project. NFLC Occassional Papers,Records with materials
484,york:852572,3,22,French in the community: A survey of language used abroad,Records with materials
484,york:852572,3,22,How much exposure do international graduate students really get? Measuring language use in a naturalistic setting,Records with materials
485,york:852573,1,4,Accents Identification: Which Type of 'Native Ear' Works Better?,Records with materials
486,york:852574,1,1,Accents Identification: Which Type of 'Native Ear' Works Better?,Records with materials
487,york:852576,1,6,Investigation of native speaker and second language learner intuition of collocation frequency,Records with materials
488,york:852665,2,1,The use of native speaker norms in critical period hypothesis research,Records with materials
488,york:852665,2,1,Determinants of success in native and non-native listening comprehension: An individual differences approach,Records with materials
489,york:852670,2,17,An investigation of elicited imitation tasks in crosslinguistic SLA research,Records with materials
489,york:852670,2,17,Language and cognition in monolinguals and bilinguals: A study of spontaneous and caused motion events in Korean and English,Records with materials
490,york:852671,1,6,An investigation of elicited imitation tasks in crosslinguistic SLA research,Records with materials
491,york:852672,1,5,An investigation of elicited imitation tasks in crosslinguistic SLA research,Records with materials
492,york:852674,4,11,Proficiency and second-language neurocognition: A study of Spanish as a first and second language,Records with materials
492,york:852674,4,11,Assessing second-language oral proficiency for resesarch: The elicited imitation task,Records with materials
492,york:852674,4,11,"Understanding second language fluency behavior: The effects of individual differences in first language fluency, cross-linguistic differences, and proficiency over time",Records with materials
492,york:852674,4,11,An investigation of elicited imitation tasks in crosslinguistic SLA research,Records with materials
493,york:852676,3,7,An investigation of elicited imitation tasks in crosslinguistic SLA research,Records with materials
493,york:852676,3,7,Measuring global oral proficiency in SLA research: A new elicited imitation test of L2 Chinese,Records with materials
493,york:852676,3,7,Learning to express motion events in L2 Chinese: A cognitive linguistic perspective,Records with materials
494,york:852678,1,4,"FR A fast, free, and efficient test to measure language proficiency in French",Records with materials
495,york:852679,1,4,Lextale-Esp: A test to rapidly and efficiently assess the Spanish vocabulary size,Records with materials
496,york:852696,1,1,Relationship between teacher-led versus learners’ interaction and the development of pragmatics in the EFL classroom,Records with materials
497,york:852697,1,1,Does instruction work for learning pragmatics in the EFL context?,Records with materials
498,york:852698,1,1,Teaching pragmatics at the discourse level: the case of adjuncts to refusals,Records with materials
499,york:852699,1,1,Teachability and bilingualism effects on third language learners’ pragmatic knowledge,Records with materials
500,york:852723,2,6,An investigation of elicited imitation tasks in crosslinguistic SLA research.,Records with materials
500,york:852723,2,6,"""Repeat as much as you can"": Elicited imitation as a measure of oral proficiency in L2 French",Records with materials
501,york:852758,1,1,Lexical inferencing in first and second language listening,Records with materials
502,york:852759,1,1,Lexical inferencing in first and second language listening,Records with materials
503,york:852760,2,1,Learning and retaining specialized vocabulary from textbook reading: Comparison of learning outcomes through L1 and L2,Records with materials
503,york:852760,2,1,Vocabulary enhancement activities and reading for meaning in second language vocabulary acquisition,Records with materials
504,york:852761,1,1,Learning and retaining specialized vocabulary from textbook reading: Comparison of learning outcomes through L1 and L2,Records with materials
505,york:852768,3,0,The role of morphological and contextual information in L2 lexical interference,Records with information only (materials not yet held)
505,york:852768,3,0,Integration of information from context and word elements in interpreting novel kanji compounds,Records with information only (materials not yet held)
505,york:852768,3,0,Semantic constraints on lexical categories,Records with information only (materials not yet held)
506,york:852803,2,1,A Second Language Task-Based Needs Analysis for Australian Aboriginal Learners: Accessing Insider Perspectives of the Workplace and Cultural Domains,Records with materials
506,york:852803,2,1,Addressing the Language and Literacy Needs of Aboriginal High School VET Students who Speak SAE as an Additional Language.,Records with materials
507,york:852813,1,1,Second language learner knowledge of verb-argument constructions: Effects of language transfer and typology,Records with materials
508,york:852865,2,4,Validating Language Proficiency Assessments in Second Language Acquisition Research. Applying an Argument-Based Approach,Records with materials
508,york:852865,2,4,An investigation of elicited imitation tasks in crosslinguistic SLA research.,Records with materials
509,york:852866,1,0,Natural or artificial: Is the route of L2 development teachable?,Records with information only (materials not yet held)
510,york:852867,1,0,Natural or artificial: Is the route of L2 development teachable?,Records with information only (materials not yet held)
511,york:852868,1,2,Degree of perceived accent in Finnish as a second language for Turkish children born in Finland,Records with materials
512,york:852877,1,3,Working memory and the observed effectiveness of recasts on different L2 outcome measures,Records with materials
513,york:852878,1,3,Working memory and the observed effectiveness of recasts on different L2 outcome measures,Records with materials
514,york:852954,1,0,Orthography plays a limited role when learning the phonological forms of new words: The case of Spanish and English learners of novel Dutch words,Records with information only (materials not yet held)
515,york:852955,5,0,Orthography plays a limited role when learning the phonological forms of new words: The case of Spanish and English learners of novel Dutch words,Records with information only (materials not yet held)
515,york:852955,5,0,Learning words in a third language: Effects of vowel inventory and language proficiency,Records with information only (materials not yet held)
515,york:852955,5,0,Novel L2 words and asymmetric lexical access,Records with information only (materials not yet held)
515,york:852955,5,0,Learning words in a new language: Orthography doesn't always help,Records with information only (materials not yet held)
515,york:852955,5,0,Prosodic knowledge affects the recognition of newly acquired words,Records with information only (materials not yet held)
516,york:852956,5,0,Orthography plays a limited role when learning the phonological forms of new words: The case of Spanish and English learners of novel Dutch words,Records with information only (materials not yet held)
516,york:852956,5,0,Learning words in a third language: Effects of vowel inventory and language proficiency,Records with information only (materials not yet held)
516,york:852956,5,0,Novel L2 words and asymmetric lexical access,Records with information only (materials not yet held)
516,york:852956,5,0,Learning words in a new language: Orthography doesn't always help,Records with information only (materials not yet held)
516,york:852956,5,0,Prosodic knowledge affects the recognition of newly acquired words,Records with information only (materials not yet held)
517,york:852957,2,0,The interaction of acoustic and orthographic input in the acquisition of Spanish assibilated/fricative rhotics,Records with information only (materials not yet held)
517,york:852957,2,0,Representation and phonological licensing in the L2 acquisition of prosodic complexity,Records with information only (materials not yet held)
518,york:852958,1,0,The interaction of acoustic and orthographic input in the acquisition of Spanish assibilated/fricative rhotics,Records with information only (materials not yet held)
519,york:852959,1,2,Native English speakers learning Arabic: The influence of novel orthographic information on second language phonological acquisition,Records with materials
520,york:852960,1,3,Native English speakers learning Arabic: The influence of novel orthographic information on second language phonological acquisition,Records with materials
521,york:852961,1,3,Native English speakers learning Arabic: The influence of novel orthographic information on second language phonological acquisition,Records with materials
522,york:852962,1,1,Native English speakers learning Arabic: The influence of novel orthographic information on second language phonological acquisition,Records with materials
523,york:853042,2,1,Individual differences in the second language processing of object-subject ambiguities,Records with materials
